sample_uid,sample_name,sample_type,collection_latitude,collection_longitude,collection_depth,Site,timepoint,id,Barcode,full_id,collection_date,coral_species,transplant_group,native_site,transplant_site,native_transplant,home_foreign,parent
198206,51DBPP,coral_field,12.07093,-68.8585,1,,T0,51DBPP,A1,51DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,51DBPP
198207,52DBPP,coral_field,12.07093,-68.8585,1,,T0,52DBPP,A2,52DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,52DBPP
198208,53DBPP,coral_field,12.07093,-68.8585,1,,T0,53DBPP,A3,53DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,53DBPP
198209,54DBPP,coral_field,12.07093,-68.8585,1,,T0,54DBPP,A4,54DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,54DBPP
198210,55DBPP,coral_field,12.07093,-68.8585,1,,T0,55DBPP,A5,55DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,55DBPP
198211,56DBPP,coral_field,12.07093,-68.8585,1,,T0,56DBPP,A6,56DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,56DBPP
198212,57DBPP,coral_field,12.07093,-68.8585,1,,T0,57DBPP,A7,57DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,57DBPP
198213,58DBPP,coral_field,12.07093,-68.8585,1,,T0,58DBPP,A8,58DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,58DBPP
198214,59DBPP,coral_field,12.07093,-68.8585,1,,T0,59DBPP,A9,59DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,59DBPP
198215,60DBPP,coral_field,12.07093,-68.8585,1,,T0,60DBPP,A10,60DBPP,22-Jun,Porites sp.,Bay Initial,Bay,None,Initial,Initial,60DBPP
198236,71DRPP,coral_field,12.06624,-68.86019,5,,T0,71DRPP,C7,71DRPP,22-Jun,Porites sp.,Reef Initial,Reef,None,Initial,Initial,71DRPP
198237,72DRPP,coral_field,12.06624,-68.86019,5,,T0,72DRPP,C8,72DRPP,22-Jun,Porites sp.,Reef Initial,Reef,None,Initial,Initial,72DRPP
198238,73DRPP,coral_field,12.06624,-68.86019,5,,T0,73DRPP,C9,73DRPP,22-Jun,Porites sp.,Reef Initial,Reef,None,Initial,Initial,73DRPP
198239,74DRPP,coral_field,12.06624,-68.86019,5,,T0,74DRPP,C10,74DRPP,22-Jun,Porites sp.,Reef Initial,Reef,None,Initial,Initial,74DRPP
198240,75DRPP,coral_field,12.06624,-68.86019,5,,T0,75DRPP,C11,75DRPP,22-Jun,Porites sp.,Reef Initial,Reef,None,Initial,Initial,75DRPP
