sample_name,A4-A4dr-A4au,A4-A4au-A4dw-A4ab-A4cu-A4av,A4-A4dt-A4dv-A4du-A4dr,A1/A1bx-A1bw-A1bf,A1/A4-A1ac-A1bn,A1-A1ac-A1bn,A4-A4au-A4ab-A4dw-A4cu,B19-B19ai-B19x-B19an,B19-B19ai-B19x-B19al,B19-B19ai-B19x-B19ak,B19-B19ai-B19ak-B19x-B19ay,C3-C3lp,C1-C1b-C1c-C42.2-C1bh-C1br-C3-C1cb,C47a-C42.2-C47e-C44-C47,C3-C1bp-C3dg-C3mo-C3df,C3-C3lp-C3zz-C3zy,C1/C1c-C1al-C1b-C42.2,C1-C1c-C1b-C1al-C72k,C45a-C42.2-C45m-C44i-C44j-C45n-C42ev-C44-C42fb,C42.2/C45a-C44j-C42ev-C42df,C1-C1c-C1am-C1b-C1ao-C1an-C3cm-C42.2,C1-C1b-C1c-C42.2-C1bh-C1cb,C1-C1c-C3-C1b-C42.2-C1bh,C42.2/C45a-C42fb-C44i,C3-C3ed,C1/C42.2/C3/C1c-C1b,C3-C3cl-C3xx-C3xw-C3de,C1,D1-D4-D4c-D1c-D1k-D2,D1/D4/D2-D4c-D1c-D1h,D1-D4-D4c-D1c-D17d-D1r-D17c-D17e,D1-D4-D1os-D4c-D1c,D1-D4-D1c-D2
D6CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4130,0,0,0,0
D7CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8431,0,0,0,0
C2CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13940,0,0,0,0
E3CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7494,0,0,0,0
B7CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8887,0,0,0,0
B2CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23186,0,0,0,0
E4CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8147,0,0,0,0
C1CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3737,0,0,0,0
B7CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053,0,0,0,0
A12CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21930,0,0,0,0
B1CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24328,0,0,0,0
D7CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5802,0,0,0,0
A11CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19213,0,0,0,0
C3CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27374,0,0,0,0
C1CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,21492,0,0,0,0
E1CW23,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5926,0,0,0,0
C3CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141,0,0,0,0
E1CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3074,0,0,0,0
D8CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4293,0,0,0,0
D8CW22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3207,0,0,0,0
C2CW22,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4438,0,0,0,0
D6CW23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,4926,0,0,0,0
D3CW23,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7008,0,0,0,0
48DBSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6460,0,0,0,0
B10CW23,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10059,0,0,0,0
47DBSS,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6953,0,0,0,0
B6CW22,0,0,0,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276,0,0,0,0
B4CW23,0,0,0,0,0,0,0,0,1930,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,23696,0,0,0,0
